soc_code,soc_code_onet,occ_title,task_id,skill,skill_requirement_pre,skill_requirement_post_genai
11-10,11-1011.00,Chief Executives,8830,technical,3.25,2.3333333333333335
11-10,11-1011.00,Chief Executives,8830,verbal,5.0,4.0
11-10,11-1011.00,Chief Executives,8831,manual,2.0,1.5
11-10,11-1011.00,Chief Executives,8831,math,4.0,3.0
11-10,11-1011.00,Chief Executives,8831,social,5.375,4.375
11-10,11-1011.00,Chief Executives,8831,technical,3.4166666666666665,2.5
11-10,11-1011.00,Chief Executives,8831,verbal,5.0,3.6666666666666665
11-10,11-1011.00,Chief Executives,8832,manual,2.0,1.75
11-10,11-1011.00,Chief Executives,8832,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8832,social,5.625,4.625
11-10,11-1011.00,Chief Executives,8832,technical,4.166666666666667,3.25
11-10,11-1011.00,Chief Executives,8832,verbal,5.0,4.0
11-10,11-1011.00,Chief Executives,8833,manual,2.25,1.75
11-10,11-1011.00,Chief Executives,8833,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8833,social,5.75,4.75
11-10,11-1011.00,Chief Executives,8833,technical,4.083333333333333,3.3333333333333335
11-10,11-1011.00,Chief Executives,8833,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8834,manual,2.0,1.75
11-10,11-1011.00,Chief Executives,8834,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8834,social,4.5,3.25
11-10,11-1011.00,Chief Executives,8834,technical,4.083333333333333,2.9166666666666665
11-10,11-1011.00,Chief Executives,8834,verbal,5.0,4.0
11-10,11-1011.00,Chief Executives,8835,manual,2.25,1.75
11-10,11-1011.00,Chief Executives,8835,math,3.0,2.0
11-10,11-1011.00,Chief Executives,8835,social,5.5,4.5
11-10,11-1011.00,Chief Executives,8835,technical,4.25,3.25
11-10,11-1011.00,Chief Executives,8835,verbal,5.333333333333333,4.0
11-10,11-1011.00,Chief Executives,8836,manual,2.75,2.0
11-10,11-1011.00,Chief Executives,8836,math,5.0,3.0
11-10,11-1011.00,Chief Executives,8836,social,5.25,4.25
11-10,11-1011.00,Chief Executives,8836,technical,4.666666666666667,3.5
11-10,11-1011.00,Chief Executives,8836,verbal,5.666666666666667,4.333333333333333
11-10,11-1011.00,Chief Executives,8837,manual,2.5,2.0
11-10,11-1011.00,Chief Executives,8837,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8837,social,5.0,4.0
11-10,11-1011.00,Chief Executives,8837,technical,4.416666666666667,3.4166666666666665
11-10,11-1011.00,Chief Executives,8837,verbal,5.0,4.0
11-10,11-1011.00,Chief Executives,8838,manual,2.0,1.75
11-10,11-1011.00,Chief Executives,8838,math,5.0,3.0
11-10,11-1011.00,Chief Executives,8838,social,5.25,4.25
11-10,11-1011.00,Chief Executives,8838,technical,4.5,3.4166666666666665
11-10,11-1011.00,Chief Executives,8838,verbal,5.0,3.6666666666666665
11-10,11-1011.00,Chief Executives,8839,manual,2.5,2.5
11-10,11-1011.00,Chief Executives,8839,math,4.0,3.0
11-10,11-1011.00,Chief Executives,8839,social,5.0,4.0
11-10,11-1011.00,Chief Executives,8839,technical,3.4166666666666665,2.4166666666666665
11-10,11-1011.00,Chief Executives,8839,verbal,5.666666666666667,4.333333333333333
11-10,11-1011.00,Chief Executives,8840,manual,1.75,1.5
11-10,11-1011.00,Chief Executives,8840,math,3.0,2.0
11-10,11-1011.00,Chief Executives,8840,social,5.25,4.25
11-10,11-1011.00,Chief Executives,8840,technical,3.6666666666666665,2.75
11-10,11-1011.00,Chief Executives,8840,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8842,manual,1.75,1.5
11-10,11-1011.00,Chief Executives,8842,math,4.0,2.0
11-10,11-1011.00,Chief Executives,8842,social,5.0,4.0
11-10,11-1011.00,Chief Executives,8842,technical,3.25,2.3333333333333335
11-10,11-1011.00,Chief Executives,8842,verbal,4.666666666666667,3.3333333333333335
11-10,11-1011.00,Chief Executives,8843,manual,2.25,1.5
11-10,11-1011.00,Chief Executives,8843,math,4.0,2.0
11-10,11-1011.00,Chief Executives,8843,social,5.125,4.0
11-10,11-1011.00,Chief Executives,8843,technical,4.0,3.1666666666666665
11-10,11-1011.00,Chief Executives,8843,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8844,manual,2.0,2.25
11-10,11-1011.00,Chief Executives,8844,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8844,social,5.375,4.375
11-10,11-1011.00,Chief Executives,8844,technical,4.416666666666667,3.0833333333333335
11-10,11-1011.00,Chief Executives,8844,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8845,manual,1.75,1.5
11-10,11-1011.00,Chief Executives,8845,math,2.0,1.0
11-10,11-1011.00,Chief Executives,8845,social,4.75,3.5
11-10,11-1011.00,Chief Executives,8845,technical,3.5,2.6666666666666665
11-10,11-1011.00,Chief Executives,8845,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8846,manual,2.5,1.75
11-10,11-1011.00,Chief Executives,8846,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8846,social,5.25,4.25
11-10,11-1011.00,Chief Executives,8846,technical,4.916666666666667,3.75
11-10,11-1011.00,Chief Executives,8846,verbal,5.0,3.6666666666666665
11-10,11-1011.00,Chief Executives,8847,manual,2.25,1.75
11-10,11-1011.00,Chief Executives,8847,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8847,social,5.5,4.5
11-10,11-1011.00,Chief Executives,8847,technical,4.833333333333333,3.8333333333333335
11-10,11-1011.00,Chief Executives,8847,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8848,manual,2.25,1.75
11-10,11-1011.00,Chief Executives,8848,math,5.0,4.0
11-10,11-1011.00,Chief Executives,8848,social,5.25,4.125
11-10,11-1011.00,Chief Executives,8848,technical,5.083333333333333,3.8333333333333335
11-10,11-1011.00,Chief Executives,8848,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.00,Chief Executives,8849,manual,1.75,1.5
11-10,11-1011.00,Chief Executives,8849,math,4.0,2.0
11-10,11-1011.00,Chief Executives,8849,social,4.75,3.75
11-10,11-1011.00,Chief Executives,8849,technical,3.0,2.1666666666666665
11-10,11-1011.00,Chief Executives,8849,verbal,5.0,4.0
11-10,11-1011.00,Chief Executives,8850,manual,2.75,2.0
11-10,11-1011.00,Chief Executives,8850,math,5.0,3.0
11-10,11-1011.00,Chief Executives,8850,social,5.125,4.0
11-10,11-1011.00,Chief Executives,8850,technical,4.0,2.8333333333333335
11-10,11-1011.00,Chief Executives,8850,verbal,5.0,4.0
11-10,11-1011.00,Chief Executives,8851,manual,2.25,1.75
11-10,11-1011.00,Chief Executives,8851,math,2.0,2.0
11-10,11-1011.00,Chief Executives,8851,social,5.625,4.625
11-10,11-1011.00,Chief Executives,8851,technical,4.083333333333333,3.1666666666666665
11-10,11-1011.00,Chief Executives,8851,verbal,5.666666666666667,4.666666666666667
11-10,11-1011.00,Chief Executives,8852,manual,2.0,1.75
11-10,11-1011.00,Chief Executives,8852,math,2.0,2.0
11-10,11-1011.00,Chief Executives,8852,social,5.125,4.125
11-10,11-1011.00,Chief Executives,8852,technical,3.0833333333333335,2.4166666666666665
11-10,11-1011.00,Chief Executives,8852,verbal,5.0,4.0
11-10,11-1011.00,Chief Executives,8853,manual,2.5,1.5
11-10,11-1011.00,Chief Executives,8853,math,2.0,1.0
11-10,11-1011.00,Chief Executives,8853,social,5.25,4.25
11-10,11-1011.00,Chief Executives,8853,technical,4.0,3.0833333333333335
11-10,11-1011.00,Chief Executives,8853,verbal,5.0,4.0
11-10,11-1011.00,Chief Executives,20461,manual,1.75,1.5
11-10,11-1011.00,Chief Executives,20461,math,5.0,4.0
11-10,11-1011.00,Chief Executives,20461,social,5.375,4.375
11-10,11-1011.00,Chief Executives,20461,technical,4.5,3.6666666666666665
11-10,11-1011.00,Chief Executives,20461,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.03,Chief Sustainability Officers,15367,manual,2.0,1.5
11-10,11-1011.03,Chief Sustainability Officers,15367,math,4.0,3.0
11-10,11-1011.03,Chief Sustainability Officers,15367,social,4.5,3.5
11-10,11-1011.03,Chief Sustainability Officers,15367,technical,3.5833333333333335,2.4166666666666665
11-10,11-1011.03,Chief Sustainability Officers,15367,verbal,5.0,3.6666666666666665
11-10,11-1011.03,Chief Sustainability Officers,15368,manual,2.25,1.75
11-10,11-1011.03,Chief Sustainability Officers,15368,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15368,social,5.0,3.875
11-10,11-1011.03,Chief Sustainability Officers,15368,technical,4.833333333333333,3.75
11-10,11-1011.03,Chief Sustainability Officers,15368,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.03,Chief Sustainability Officers,15369,manual,2.25,1.75
11-10,11-1011.03,Chief Sustainability Officers,15369,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15369,social,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15369,technical,5.166666666666667,3.9166666666666665
11-10,11-1011.03,Chief Sustainability Officers,15369,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.03,Chief Sustainability Officers,15370,manual,2.25,1.75
11-10,11-1011.03,Chief Sustainability Officers,15370,math,5.0,3.0
11-10,11-1011.03,Chief Sustainability Officers,15370,social,4.25,3.125
11-10,11-1011.03,Chief Sustainability Officers,15370,technical,4.0,2.8333333333333335
11-10,11-1011.03,Chief Sustainability Officers,15370,verbal,4.666666666666667,3.6666666666666665
11-10,11-1011.03,Chief Sustainability Officers,15371,manual,2.0,1.75
11-10,11-1011.03,Chief Sustainability Officers,15371,math,5.0,3.0
11-10,11-1011.03,Chief Sustainability Officers,15371,social,4.875,3.625
11-10,11-1011.03,Chief Sustainability Officers,15371,technical,3.75,2.75
11-10,11-1011.03,Chief Sustainability Officers,15371,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.03,Chief Sustainability Officers,15372,manual,3.0,2.0
11-10,11-1011.03,Chief Sustainability Officers,15372,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15372,social,4.875,3.875
11-10,11-1011.03,Chief Sustainability Officers,15372,technical,4.5,3.3333333333333335
11-10,11-1011.03,Chief Sustainability Officers,15372,verbal,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15373,manual,2.25,2.5
11-10,11-1011.03,Chief Sustainability Officers,15373,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15373,social,4.875,3.75
11-10,11-1011.03,Chief Sustainability Officers,15373,technical,4.416666666666667,3.0
11-10,11-1011.03,Chief Sustainability Officers,15373,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.03,Chief Sustainability Officers,15374,manual,2.0,1.5
11-10,11-1011.03,Chief Sustainability Officers,15374,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15374,social,4.375,3.375
11-10,11-1011.03,Chief Sustainability Officers,15374,technical,4.416666666666667,3.25
11-10,11-1011.03,Chief Sustainability Officers,15374,verbal,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15375,manual,2.0,1.75
11-10,11-1011.03,Chief Sustainability Officers,15375,math,5.0,3.0
11-10,11-1011.03,Chief Sustainability Officers,15375,social,5.25,4.25
11-10,11-1011.03,Chief Sustainability Officers,15375,technical,4.416666666666667,3.1666666666666665
11-10,11-1011.03,Chief Sustainability Officers,15375,verbal,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15376,manual,2.5,1.5
11-10,11-1011.03,Chief Sustainability Officers,15376,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15376,social,4.25,3.25
11-10,11-1011.03,Chief Sustainability Officers,15376,technical,4.083333333333333,2.9166666666666665
11-10,11-1011.03,Chief Sustainability Officers,15376,verbal,4.666666666666667,3.3333333333333335
11-10,11-1011.03,Chief Sustainability Officers,15377,manual,2.75,2.0
11-10,11-1011.03,Chief Sustainability Officers,15377,math,5.0,3.0
11-10,11-1011.03,Chief Sustainability Officers,15377,social,4.875,3.875
11-10,11-1011.03,Chief Sustainability Officers,15377,technical,4.583333333333333,3.5
11-10,11-1011.03,Chief Sustainability Officers,15377,verbal,5.333333333333333,4.0
11-10,11-1011.03,Chief Sustainability Officers,15378,manual,2.5,1.5
11-10,11-1011.03,Chief Sustainability Officers,15378,math,5.0,3.0
11-10,11-1011.03,Chief Sustainability Officers,15378,social,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15378,technical,4.416666666666667,3.1666666666666665
11-10,11-1011.03,Chief Sustainability Officers,15378,verbal,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15379,manual,3.25,2.5
11-10,11-1011.03,Chief Sustainability Officers,15379,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15379,social,5.25,4.125
11-10,11-1011.03,Chief Sustainability Officers,15379,technical,5.25,4.166666666666667
11-10,11-1011.03,Chief Sustainability Officers,15379,verbal,5.333333333333333,4.0
11-10,11-1011.03,Chief Sustainability Officers,15380,manual,2.5,1.5
11-10,11-1011.03,Chief Sustainability Officers,15380,math,4.0,2.0
11-10,11-1011.03,Chief Sustainability Officers,15380,social,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15380,technical,4.0,2.6666666666666665
11-10,11-1011.03,Chief Sustainability Officers,15380,verbal,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15381,manual,3.0,2.5
11-10,11-1011.03,Chief Sustainability Officers,15381,math,6.0,5.0
11-10,11-1011.03,Chief Sustainability Officers,15381,social,4.875,3.875
11-10,11-1011.03,Chief Sustainability Officers,15381,technical,5.25,4.083333333333333
11-10,11-1011.03,Chief Sustainability Officers,15381,verbal,5.333333333333333,4.333333333333333
11-10,11-1011.03,Chief Sustainability Officers,15382,manual,3.25,2.25
11-10,11-1011.03,Chief Sustainability Officers,15382,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15382,social,4.625,3.375
11-10,11-1011.03,Chief Sustainability Officers,15382,technical,4.833333333333333,3.6666666666666665
11-10,11-1011.03,Chief Sustainability Officers,15382,verbal,5.333333333333333,3.6666666666666665
11-10,11-1011.03,Chief Sustainability Officers,15383,manual,2.25,2.0
11-10,11-1011.03,Chief Sustainability Officers,15383,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15383,social,5.25,4.25
11-10,11-1011.03,Chief Sustainability Officers,15383,technical,4.666666666666667,3.6666666666666665
11-10,11-1011.03,Chief Sustainability Officers,15383,verbal,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15384,manual,2.75,2.25
11-10,11-1011.03,Chief Sustainability Officers,15384,math,5.0,4.0
11-10,11-1011.03,Chief Sustainability Officers,15384,social,5.375,4.375
11-10,11-1011.03,Chief Sustainability Officers,15384,technical,5.333333333333333,4.0
11-10,11-1011.03,Chief Sustainability Officers,15384,verbal,5.333333333333333,4.333333333333333
11-10,11-1021.00,General and Operations Managers,933,manual,3.25,2.25
11-10,11-1021.00,General and Operations Managers,933,math,5.0,4.0
11-10,11-1021.00,General and Operations Managers,933,social,5.125,4.125
11-10,11-1021.00,General and Operations Managers,933,technical,5.0,3.6666666666666665
11-10,11-1021.00,General and Operations Managers,933,verbal,5.333333333333333,4.333333333333333
11-10,11-1021.00,General and Operations Managers,944,manual,1.75,1.5
11-10,11-1021.00,General and Operations Managers,944,math,3.0,2.0
11-10,11-1021.00,General and Operations Managers,944,social,3.25,2.25
11-10,11-1021.00,General and Operations Managers,944,technical,2.0833333333333335,1.6666666666666667
11-10,11-1021.00,General and Operations Managers,944,verbal,3.0,1.6666666666666667
11-10,11-1021.00,General and Operations Managers,945,manual,2.5,1.5
11-10,11-1021.00,General and Operations Managers,945,math,5.0,3.0
11-10,11-1021.00,General and Operations Managers,945,social,5.125,4.125
11-10,11-1021.00,General and Operations Managers,945,technical,4.5,3.4166666666666665
11-10,11-1021.00,General and Operations Managers,945,verbal,5.0,4.0
11-10,11-1021.00,General and Operations Managers,947,manual,2.25,1.75
11-10,11-1021.00,General and Operations Managers,947,math,5.0,4.0
11-10,11-1021.00,General and Operations Managers,947,social,5.125,4.125
11-10,11-1021.00,General and Operations Managers,947,technical,4.25,3.0833333333333335
11-10,11-1021.00,General and Operations Managers,947,verbal,4.666666666666667,3.6666666666666665
11-10,11-1021.00,General and Operations Managers,948,manual,4.0,3.0
11-10,11-1021.00,General and Operations Managers,948,math,5.0,4.0
11-10,11-1021.00,General and Operations Managers,948,social,5.125,4.0
11-10,11-1021.00,General and Operations Managers,948,technical,4.666666666666667,3.1666666666666665
11-10,11-1021.00,General and Operations Managers,948,verbal,5.0,3.6666666666666665
11-10,11-1021.00,General and Operations Managers,949,manual,2.0,1.5
11-10,11-1021.00,General and Operations Managers,949,math,4.0,3.0
11-10,11-1021.00,General and Operations Managers,949,social,4.5,3.125
11-10,11-1021.00,General and Operations Managers,949,technical,4.0,2.75
11-10,11-1021.00,General and Operations Managers,949,verbal,4.333333333333333,3.0
11-10,11-1021.00,General and Operations Managers,19501,manual,3.5,2.5
11-10,11-1021.00,General and Operations Managers,19501,math,5.0,3.0
11-10,11-1021.00,General and Operations Managers,19501,social,5.125,4.125
11-10,11-1021.00,General and Operations Managers,19501,technical,4.5,3.25
11-10,11-1021.00,General and Operations Managers,19501,verbal,5.0,3.6666666666666665
11-10,11-1021.00,General and Operations Managers,20699,manual,2.0,2.0
11-10,11-1021.00,General and Operations Managers,20699,math,5.0,3.0
11-10,11-1021.00,General and Operations Managers,20699,social,4.125,2.875
11-10,11-1021.00,General and Operations Managers,20699,technical,4.25,3.25
11-10,11-1021.00,General and Operations Managers,20699,verbal,5.0,4.0
11-10,11-1021.00,General and Operations Managers,20700,manual,2.25,1.75
11-10,11-1021.00,General and Operations Managers,20700,math,5.0,3.0
11-10,11-1021.00,General and Operations Managers,20700,social,5.0,3.875
11-10,11-1021.00,General and Operations Managers,20700,technical,4.416666666666667,3.25
11-10,11-1021.00,General and Operations Managers,20700,verbal,4.666666666666667,3.6666666666666665
11-10,11-1021.00,General and Operations Managers,20701,manual,2.25,1.5
11-10,11-1021.00,General and Operations Managers,20701,math,3.0,2.0
11-10,11-1021.00,General and Operations Managers,20701,social,4.5,3.0
11-10,11-1021.00,General and Operations Managers,20701,technical,3.3333333333333335,2.3333333333333335
11-10,11-1021.00,General and Operations Managers,20701,verbal,3.6666666666666665,2.6666666666666665
11-10,11-1021.00,General and Operations Managers,20702,manual,2.25,1.75
11-10,11-1021.00,General and Operations Managers,20702,math,5.0,3.0
11-10,11-1021.00,General and Operations Managers,20702,social,4.875,3.75
11-10,11-1021.00,General and Operations Managers,20702,technical,4.166666666666667,2.9166666666666665
11-10,11-1021.00,General and Operations Managers,20702,verbal,5.0,3.6666666666666665
11-10,11-1021.00,General and Operations Managers,20703,manual,2.25,1.5
11-10,11-1021.00,General and Operations Managers,20703,math,5.0,4.0
11-10,11-1021.00,General and Operations Managers,20703,social,5.125,3.875
11-10,11-1021.00,General and Operations Managers,20703,technical,4.75,3.4166666666666665
11-10,11-1021.00,General and Operations Managers,20703,verbal,5.333333333333333,4.0
11-10,11-1021.00,General and Operations Managers,20704,manual,2.0,1.5
11-10,11-1021.00,General and Operations Managers,20704,math,3.0,2.0
11-10,11-1021.00,General and Operations Managers,20704,social,5.375,4.375
11-10,11-1021.00,General and Operations Managers,20704,technical,4.083333333333333,2.9166666666666665
11-10,11-1021.00,General and Operations Managers,20704,verbal,5.0,3.6666666666666665
11-10,11-1021.00,General and Operations Managers,20705,manual,2.0,1.5
11-10,11-1021.00,General and Operations Managers,20705,math,4.0,3.0
11-10,11-1021.00,General and Operations Managers,20705,social,5.0,3.875
11-10,11-1021.00,General and Operations Managers,20705,technical,3.5833333333333335,2.75
11-10,11-1021.00,General and Operations Managers,20705,verbal,5.0,3.6666666666666665
11-10,11-1021.00,General and Operations Managers,20706,manual,2.25,1.75
11-10,11-1021.00,General and Operations Managers,20706,math,5.0,3.0
11-10,11-1021.00,General and Operations Managers,20706,social,5.0,4.0
11-10,11-1021.00,General and Operations Managers,20706,technical,3.75,2.8333333333333335
11-10,11-1021.00,General and Operations Managers,20706,verbal,5.0,4.0
11-10,11-1021.00,General and Operations Managers,20707,manual,2.75,2.0
11-10,11-1021.00,General and Operations Managers,20707,math,5.0,3.0
11-10,11-1021.00,General and Operations Managers,20707,social,4.625,3.375
11-10,11-1021.00,General and Operations Managers,20707,technical,4.583333333333333,3.3333333333333335
11-10,11-1021.00,General and Operations Managers,20707,verbal,4.666666666666667,3.3333333333333335
11-10,11-1021.00,General and Operations Managers,20708,manual,3.75,2.75
11-10,11-1021.00,General and Operations Managers,20708,math,5.0,3.0
11-10,11-1021.00,General and Operations Managers,20708,social,4.75,3.75
11-10,11-1021.00,General and Operations Managers,20708,technical,4.916666666666667,3.5833333333333335
11-10,11-1021.00,General and Operations Managers,20708,verbal,4.666666666666667,3.6666666666666665
11-10,11-1031.00,Legislators,15267,manual,2.0,1.5
11-10,11-1031.00,Legislators,15267,math,5.0,3.0
11-10,11-1031.00,Legislators,15267,social,4.625,3.375
11-10,11-1031.00,Legislators,15267,technical,4.75,3.3333333333333335
11-10,11-1031.00,Legislators,15267,verbal,5.666666666666667,4.333333333333333
11-10,11-1031.00,Legislators,15268,manual,1.75,1.5
11-10,11-1031.00,Legislators,15268,math,2.0,1.0
11-10,11-1031.00,Legislators,15268,social,5.125,4.125
11-10,11-1031.00,Legislators,15268,technical,3.5,2.8333333333333335
11-10,11-1031.00,Legislators,15268,verbal,5.0,4.0
11-10,11-1031.00,Legislators,15269,manual,1.75,1.5
11-10,11-1031.00,Legislators,15269,math,3.0,2.0
11-10,11-1031.00,Legislators,15269,social,5.0,4.0
11-10,11-1031.00,Legislators,15269,technical,3.6666666666666665,3.0833333333333335
11-10,11-1031.00,Legislators,15269,verbal,5.0,4.0
11-10,11-1031.00,Legislators,15270,manual,1.75,1.5
11-10,11-1031.00,Legislators,15270,math,3.0,2.0
11-10,11-1031.00,Legislators,15270,social,5.0,4.125
11-10,11-1031.00,Legislators,15270,technical,4.083333333333333,3.0833333333333335
11-10,11-1031.00,Legislators,15270,verbal,5.666666666666667,4.666666666666667
11-10,11-1031.00,Legislators,15271,manual,1.75,1.5
11-10,11-1031.00,Legislators,15271,math,4.0,3.0
11-10,11-1031.00,Legislators,15271,social,4.25,3.25
11-10,11-1031.00,Legislators,15271,technical,4.083333333333333,3.0
11-10,11-1031.00,Legislators,15271,verbal,5.333333333333333,4.333333333333333
11-10,11-1031.00,Legislators,15272,manual,2.5,1.5
11-10,11-1031.00,Legislators,15272,math,4.0,2.0
11-10,11-1031.00,Legislators,15272,social,4.625,3.625
11-10,11-1031.00,Legislators,15272,technical,4.0,3.0
11-10,11-1031.00,Legislators,15272,verbal,5.0,4.0
11-10,11-1031.00,Legislators,15273,manual,1.75,2.25
11-10,11-1031.00,Legislators,15273,math,2.0,1.0
11-10,11-1031.00,Legislators,15273,social,4.0,3.0
11-10,11-1031.00,Legislators,15273,technical,2.6666666666666665,1.9166666666666667
11-10,11-1031.00,Legislators,15273,verbal,4.666666666666667,3.3333333333333335
11-10,11-1031.00,Legislators,15274,manual,2.5,2.25
11-10,11-1031.00,Legislators,15274,math,3.0,2.0
11-10,11-1031.00,Legislators,15274,social,4.125,2.75
11-10,11-1031.00,Legislators,15274,technical,3.75,2.5833333333333335
11-10,11-1031.00,Legislators,15274,verbal,5.0,3.6666666666666665
11-10,11-1031.00,Legislators,15275,manual,2.25,1.75
11-10,11-1031.00,Legislators,15275,math,3.0,2.0
11-10,11-1031.00,Legislators,15275,social,5.5,4.375
11-10,11-1031.00,Legislators,15275,technical,4.166666666666667,3.1666666666666665
11-10,11-1031.00,Legislators,15275,verbal,5.333333333333333,4.333333333333333
11-10,11-1031.00,Legislators,15276,manual,1.75,2.0
11-10,11-1031.00,Legislators,15276,math,4.0,3.0
11-10,11-1031.00,Legislators,15276,social,5.25,4.25
11-10,11-1031.00,Legislators,15276,technical,4.25,3.5
11-10,11-1031.00,Legislators,15276,verbal,5.333333333333333,4.333333333333333
11-10,11-1031.00,Legislators,15277,manual,2.0,1.5
11-10,11-1031.00,Legislators,15277,math,5.0,4.0
11-10,11-1031.00,Legislators,15277,social,5.25,4.0
11-10,11-1031.00,Legislators,15277,technical,4.666666666666667,3.5
11-10,11-1031.00,Legislators,15277,verbal,6.0,5.0
11-10,11-1031.00,Legislators,15278,manual,2.0,1.75
11-10,11-1031.00,Legislators,15278,math,4.0,3.0
11-10,11-1031.00,Legislators,15278,social,4.75,3.625
11-10,11-1031.00,Legislators,15278,technical,4.0,2.9166666666666665
11-10,11-1031.00,Legislators,15278,verbal,5.0,4.0
11-10,11-1031.00,Legislators,15279,manual,1.75,1.5
11-10,11-1031.00,Legislators,15279,math,3.0,2.0
11-10,11-1031.00,Legislators,15279,social,5.375,4.375
11-10,11-1031.00,Legislators,15279,technical,3.6666666666666665,3.0
11-10,11-1031.00,Legislators,15279,verbal,5.333333333333333,4.333333333333333
